Date,open,high,low,close,"XAU/USD(Open, Bid)*","XAU/USD(High, Bid)*","XAU/USD(Low, Bid)*","XAU/USD(Close, Bid)*"
24//2017:00:00,1289.11,1289.32,1288.61,1289.01,1288.76,1288.96,1288.26,1288.62
24//2017:00:00,1289.01,1289.34,1288.86,1289.12,1288.67,1289.01,1288.49,1288.75
24//2017:00:00,1288.62,1289.23,1288.58,1289.01,1288.27,1288.88,1288.21,1288.66
24//2017:00:00,1288.55,1288.83,1288.35,1288.62,1288.19,1288.45,1288.01,1288.26
24//2017:00:00,1288.48,1289.11,1288.31,1288.55,1288.09,1288.78,1287.95,1288.20
24//2017:00:00,1287.94,1288.77,1287.85,1288.48,1287.63,1288.41,1287.47,1288.10
24//2017:00:00,1287.84,1288.15,1287.83,1287.94,1287.52,1287.77,1287.48,1287.61
24//2017:00:00,1288.21,1288.51,1287.84,1287.84,1287.82,1288.13,1287.51,1287.53
24//2017:00:00,1288.00,1288.43,1287.76,1288.20,1287.64,1288.05,1287.32,1287.81
24//2017:00:00,1288.48,1288.70,1287.97,1288.00,1288.11,1288.36,1287.62,1287.63
24//2017:00:00,1289.02,1289.10,1288.42,1288.48,1288.68,1288.76,1288.03,1288.14
24//2017:00:00,1288.99,1289.35,1288.79,1289.02,1288.60,1288.99,1288.40,1288.67
24//2017:00:00,1289.21,1289.82,1288.90,1288.98,1288.84,1289.43,1288.51,1288.59
24//2017:00:00,1288.88,1289.28,1288.69,1289.22,1288.53,1288.92,1288.34,1288.84
24//2017:00:00,1288.79,1289.01,1288.54,1288.88,1288.42,1288.63,1288.17,1288.52
24//2017:00:00,1288.60,1289.00,1288.38,1288.80,1288.24,1288.63,1288.01,1288.42
24//2017:00:00,1289.00,1289.01,1288.48,1288.60,1288.65,1288.65,1288.10,1288.25
24//2017:00:00,1289.20,1289.21,1288.98,1289.00,1288.81,1288.83,1288.61,1288.63
24//2017:00:00,1288.89,1289.41,1288.66,1289.21,1288.51,1289.04,1288.28,1288.82
24//2017:00:00,1289.38,1289.40,1288.89,1288.89,1289.02,1289.02,1288.50,1288.50
24//2017:00:00,1288.87,1289.41,1288.67,1289.39,1288.46,1289.02,1288.31,1289.02
24//2017:00:00,1289.08,1289.67,1288.80,1288.87,1288.69,1289.28,1288.44,1288.48
24//2017:00:00,1288.32,1289.09,1288.15,1289.07,1287.96,1288.71,1287.77,1288.68
24//2017:00:00,1287.63,1288.34,1287.53,1288.32,1287.27,1287.97,1287.15,1287.95
24//2017:00:00,1287.64,1287.65,1287.44,1287.63,1287.30,1287.31,1287.07,1287.28
24//2017:00:00,1287.78,1287.80,1287.51,1287.64,1287.40,1287.47,1287.13,1287.29
24//2017:00:00,1287.50,1287.88,1287.48,1287.78,1287.14,1287.50,1287.10,1287.39
24//2017:00:00,1287.66,1287.98,1286.98,1287.50,1287.28,1287.60,1286.61,1287.13
24//2017:00:00,1287.76,1287.86,1287.45,1287.67,1287.38,1287.49,1287.06,1287.28
24//2017:00:00,1287.75,1287.97,1287.46,1287.76,1287.38,1287.58,1287.07,1287.40
24//2017:00:00,1287.53,1287.84,1287.33,1287.75,1287.14,1287.45,1286.95,1287.39
24//2017:00:00,1286.99,1287.79,1286.93,1287.52,1286.64,1287.45,1286.57,1287.14
24//2017:00:00,1288.29,1288.31,1285.90,1287.00,1287.90,1287.92,1285.50,1286.64
24//2017:00:00,1288.63,1288.73,1288.14,1288.28,1288.26,1288.34,1287.76,1287.89
24//2017:00:00,1288.18,1288.67,1288.01,1288.64,1287.80,1288.28,1287.63,1288.26
24//2017:00:00,1287.66,1288.48,1287.66,1288.18,1287.27,1288.09,1287.27,1287.79
24//2017:00:00,1289.00,1289.00,1287.52,1287.68,1288.65,1288.65,1287.15,1287.29
24//2017:00:00,1289.34,1289.57,1288.70,1289.00,1288.97,1289.20,1288.32,1288.64
24//2017:00:00,1289.51,1289.62,1289.11,1289.33,1289.13,1289.25,1288.74,1288.97
24//2017:00:00,1289.46,1289.67,1289.34,1289.52,1289.08,1289.31,1288.98,1289.16
24//2017:00:00,1289.57,1289.95,1289.38,1289.47,1289.18,1289.58,1289.00,1289.08
24//2017:00:00,1289.65,1289.75,1289.15,1289.58,1289.28,1289.38,1288.80,1289.19
24//2017:00:00,1289.71,1289.91,1289.43,1289.63,1289.37,1289.55,1289.07,1289.28
24//2017:00:00,1289.74,1289.74,1289.27,1289.73,1289.35,1289.38,1288.89,1289.37
24//2017:00:00,1289.77,1289.86,1289.39,1289.75,1289.34,1289.45,1289.01,1289.38
24//2017:00:00,1289.73,1290.06,1289.34,1289.77,1289.40,1289.67,1288.95,1289.37
24//2017:00:00,1290.09,1290.12,1289.48,1289.81,1289.70,1289.71,1289.09,1289.42
24//2017:00:00,1290.15,1290.65,1290.01,1290.08,1289.76,1290.27,1289.61,1289.70
24//2017:00:00,1290.16,1290.29,1290.03,1290.15,1289.77,1289.91,1289.65,1289.77
24//2017:00:00,1289.93,1290.19,1289.81,1290.14,1289.54,1289.80,1289.44,1289.75
24//2017:00:00,1289.93,1290.02,1289.34,1289.92,1289.54,1289.63,1288.95,1289.54
24//2017:00:00,1290.04,1290.33,1289.88,1289.94,1289.66,1289.94,1289.53,1289.55
24//2017:00:00,1290.73,1290.85,1288.91,1290.05,1290.35,1290.47,1288.54,1289.66
24//2017:00:00,1290.87,1291.02,1290.52,1290.72,1290.49,1290.63,1290.16,1290.35
24//2017:00:00,1290.43,1290.91,1290.33,1290.87,1290.05,1290.53,1289.95,1290.50
24//2017:00:00,1290.41,1290.67,1290.22,1290.43,1290.04,1290.30,1289.87,1290.04
24//2017:00:00,1290.40,1290.67,1290.35,1290.41,1290.03,1290.31,1290.00,1290.05
24//2017:00:00,1290.52,1290.72,1290.37,1290.40,1290.14,1290.34,1290.01,1290.02
24//2017:00:00,1290.89,1291.10,1290.43,1290.53,1290.53,1290.73,1290.05,1290.14
24//2017:00:00,1290.80,1290.92,1290.58,1290.90,1290.42,1290.54,1290.22,1290.53
24//2017:00:00,1291.29,1291.36,1290.58,1290.78,1290.90,1291.01,1290.22,1290.42
24//2017:00:00,1290.76,1291.44,1290.67,1291.28,1290.40,1291.05,1290.30,1290.90
24//2017:00:00,1291.10,1291.27,1290.73,1290.77,1290.72,1290.89,1290.36,1290.40
24//2017:00:00,1291.36,1291.38,1290.99,1291.09,1290.99,1291.00,1290.65,1290.72
24//2017:00:00,1291.36,1291.43,1291.04,1291.35,1291.00,1291.06,1290.66,1290.99
24//2017:00:00,1291.47,1291.65,1291.36,1291.36,1291.10,1291.29,1290.98,1290.98
24//2017:00:00,1291.81,1291.85,1291.44,1291.46,1291.47,1291.49,1291.07,1291.10
24//2017:00:00,1291.74,1291.97,1291.67,1291.82,1291.39,1291.59,1291.29,1291.47
24//2017:00:00,1291.76,1291.91,1291.63,1291.73,1291.38,1291.53,1291.28,1291.39
24//2017:00:00,1291.65,1291.89,1291.37,1291.76,1291.29,1291.51,1290.99,1291.39
24//2017:00:00,1291.58,1291.79,1291.38,1291.66,1291.20,1291.40,1291.00,1291.29
24//2017:00:00,1290.99,1291.70,1290.87,1291.59,1290.62,1291.31,1290.51,1291.20
24//2017:00:00,1291.51,1291.55,1290.80,1290.99,1291.15,1291.15,1290.42,1290.60
24//2017:00:00,1291.15,1291.60,1291.04,1291.51,1290.79,1291.21,1290.65,1291.12
24//2017:00:00,1291.50,1291.66,1290.89,1291.15,1291.08,1291.24,1290.51,1290.77
24//2017:00:00,1290.89,1291.62,1290.71,1291.44,1290.51,1291.24,1290.32,1291.08
24//2017:00:00,1291.08,1291.39,1290.68,1290.90,1290.69,1291.00,1290.31,1290.51
24//2017:00:00,1290.70,1291.46,1290.69,1291.09,1290.32,1291.09,1290.31,1290.70
24//2017:00:00,1290.87,1291.00,1290.39,1290.70,1290.49,1290.64,1290.00,1290.34
24//2017:00:00,1290.82,1290.98,1290.61,1290.86,1290.43,1290.60,1290.28,1290.49
24//2017:00:00,1290.16,1290.86,1290.16,1290.80,1289.79,1290.48,1289.78,1290.41
24//2017:00:00,1290.50,1290.60,1289.88,1290.17,1290.13,1290.21,1289.49,1289.79
24//2017:00:00,1290.49,1290.68,1290.06,1290.51,1290.13,1290.29,1289.68,1290.13
24//2017:00:00,1291.05,1291.05,1290.45,1290.49,1290.69,1290.70,1290.04,1290.12
24//2017:00:00,1291.26,1291.37,1291.01,1291.05,1290.89,1291.00,1290.65,1290.68
24//2017:00:00,1291.49,1291.57,1291.25,1291.26,1291.11,1291.21,1290.87,1290.88
24//2017:00:00,1291.07,1291.60,1290.94,1291.50,1290.70,1291.22,1290.55,1291.11
24//2017:00:00,1291.20,1291.45,1291.01,1291.06,1290.82,1291.07,1290.64,1290.70
24//2017:00:00,1291.14,1291.33,1291.13,1291.21,1290.77,1290.98,1290.76,1290.82
24//2017:00:00,1291.20,1291.20,1290.82,1291.15,1290.83,1290.84,1290.44,1290.77
24//2017:00:00,1291.02,1291.30,1291.02,1291.22,1290.69,1290.93,1290.65,1290.83
24//2017:00:00,1291.22,1291.53,1290.98,1291.02,1291.00,1291.16,1290.60,1290.67
24//2017:00:00,1291.92,1291.92,1291.18,1291.22,1291.53,1291.53,1290.81,1290.85
24//2017:00:00,1292.22,1292.22,1291.92,1291.92,1291.84,1291.87,1291.55,1291.55
24//2017:00:00,1292.13,1292.26,1292.13,1292.22,1291.75,1291.90,1291.75,1291.85
24//2017:00:00,1292.13,1292.13,1291.89,1292.13,1291.75,1291.77,1291.52,1291.74
24//2017:00:00,1292.03,1292.18,1291.92,1292.13,1291.67,1291.79,1291.54,1291.74
24//2017:00:00,1292.14,1292.22,1291.81,1292.03,1291.76,1291.85,1291.45,1291.65
24//2017:00:00,1291.92,1292.32,1291.87,1292.13,1291.58,1291.97,1291.48,1291.76
24//2017:00:00,1292.48,1292.49,1291.85,1291.92,1292.12,1292.12,1291.49,1291.57
24//2017:00:00,1292.09,1292.63,1292.07,1292.49,1291.74,1292.27,1291.71,1292.12
24//2017:00:00,1291.91,1292.11,1291.90,1292.09,1291.56,1291.76,1291.55,1291.73
24//2017:00:00,1291.91,1292.07,1291.83,1291.91,1291.55,1291.67,1291.48,1291.55
24//2017:00:00,1292.13,1292.23,1291.83,1291.91,1291.78,1291.86,1291.46,1291.56
24//2017:00:00,1292.29,1292.34,1292.15,1292.16,1291.94,1291.98,1291.78,1291.78
24//2017:00:00,1292.39,1292.39,1292.15,1292.28,1292.04,1292.05,1291.76,1291.94
24//2017:00:00,1292.34,1292.44,1292.32,1292.39,1291.97,1292.08,1291.96,1292.05
24//2017:00:00,1292.16,1292.45,1292.13,1292.34,1291.78,1292.07,1291.76,1291.96
24//2017:00:00,1292.22,1292.32,1292.14,1292.17,1291.84,1291.94,1291.78,1291.78
24//2017:00:00,1292.06,1292.23,1292.06,1292.22,1291.68,1291.89,1291.68,1291.85
24//2017:00:00,1292.04,1292.06,1291.94,1292.06,1291.67,1291.69,1291.55,1291.67
23//2017:00:00,1291.87,1292.05,1291.84,1292.04,1291.48,1291.69,1291.46,1291.66
23//2017:00:00,1291.75,1291.87,1291.55,1291.86,1291.38,1291.51,1291.18,1291.47
23//2017:00:00,1291.97,1291.99,1291.74,1291.75,1291.58,1291.61,1291.36,1291.39
23//2017:00:00,1291.98,1292.09,1291.94,1291.97,1291.59,1291.71,1291.57,1291.59
23//2017:00:00,1291.83,1292.00,1291.83,1291.96,1291.48,1291.62,1291.48,1291.59
23//2017:00:00,1291.87,1291.98,1291.81,1291.84,1291.48,1291.60,1291.43,1291.48
23//2017:00:00,1291.67,1291.87,1291.65,1291.87,1291.29,1291.49,1291.27,1291.49
23//2017:00:00,1291.83,1291.83,1291.58,1291.66,1291.47,1291.47,1291.20,1291.27
23//2017:00:00,1292.07,1292.07,1291.64,1291.86,1291.68,1291.68,1291.27,1291.47
23//2017:00:00,1291.89,1292.08,1291.85,1292.05,1291.52,1291.72,1291.47,1291.68
23//2017:00:00,1292.07,1292.14,1291.84,1291.90,1291.69,1291.77,1291.47,1291.52
23//2017:00:00,1292.05,1292.08,1291.83,1292.06,1291.68,1291.70,1291.44,1291.69
23//2017:00:00,1291.73,1292.08,1291.71,1292.06,1291.35,1291.69,1291.33,1291.68
23//2017:00:00,1291.94,1291.97,1291.45,1291.72,1291.58,1291.58,1291.09,1291.35
23//2017:00:00,1292.41,1292.42,1291.91,1291.93,1292.02,1292.03,1291.55,1291.58
23//2017:00:00,1292.73,1292.73,1292.35,1292.40,1292.34,1292.34,1291.97,1292.01
23//2017:00:00,1292.62,1292.75,1292.56,1292.71,1292.25,1292.36,1292.18,1292.32
23//2017:00:00,1292.76,1292.85,1292.55,1292.63,1292.38,1292.47,1292.16,1292.25
23//2017:00:00,1292.87,1293.01,1292.71,1292.76,1292.50,1292.64,1292.34,1292.37
23//2017:00:00,1292.64,1292.94,1292.62,1292.86,1292.25,1292.55,1292.23,1292.47
23//2017:00:00,1292.44,1292.67,1292.42,1292.65,1292.05,1292.30,1292.03,1292.26
23//2017:00:00,1292.55,1292.65,1292.43,1292.44,1292.16,1292.27,1292.04,1292.06
23//2017:00:00,1292.65,1292.78,1292.51,1292.54,1292.26,1292.39,1292.12,1292.15
23//2017:00:00,1292.92,1292.94,1292.55,1292.65,1292.53,1292.56,1292.16,1292.27
23//2017:00:00,1292.84,1292.93,1292.60,1292.93,1292.45,1292.54,1292.22,1292.54
23//2017:00:00,1293.05,1293.12,1292.81,1292.85,1292.66,1292.74,1292.44,1292.46
23//2017:00:00,1293.14,1293.26,1292.97,1293.04,1292.76,1292.86,1292.60,1292.65
23//2017:00:00,1292.95,1293.23,1292.92,1293.15,1292.56,1292.85,1292.55,1292.76
23//2017:00:00,1293.45,1293.45,1292.92,1292.94,1293.07,1293.07,1292.56,1292.56
23//2017:00:00,1292.83,1293.49,1292.79,1293.45,1292.49,1293.11,1292.44,1293.06
23//2017:00:00,1292.66,1292.90,1292.60,1292.82,1292.29,1292.53,1292.26,1292.49
23//2017:00:00,1292.81,1292.81,1292.42,1292.67,1292.48,1292.48,1292.08,1292.29
23//2017:00:00,1292.54,1292.88,1292.50,1292.82,1292.16,1292.51,1292.14,1292.48
23//2017:00:00,1292.70,1292.87,1292.38,1292.53,1292.36,1292.50,1292.02,1292.16
23//2017:00:00,1293.16,1293.16,1292.60,1292.71,1292.77,1292.77,1292.25,1292.36
23//2017:00:00,1292.26,1293.16,1292.26,1293.15,1291.87,1292.77,1291.87,1292.76
23//2017:00:00,1292.14,1292.50,1292.10,1292.25,1291.75,1292.10,1291.74,1291.86
23//2017:00:00,1292.23,1292.64,1292.15,1292.15,1291.84,1292.25,1291.76,1291.76
23//2017:00:00,1292.32,1292.34,1292.07,1292.24,1291.94,1291.95,1291.68,1291.85
23//2017:00:00,1292.44,1292.46,1292.11,1292.33,1292.05,1292.07,1291.74,1291.94
23//2017:00:00,1292.55,1292.97,1292.37,1292.42,1292.16,1292.60,1292.00,1292.03
23//2017:00:00,1292.13,1292.92,1292.10,1292.54,1291.74,1292.44,1291.71,1292.15
